[2026-07-23 20:19:23] extinction #1 | ticks: 1 | max Gen: 0 | avg Ein: 0.0 | avg Eout: 0.0
[2026-07-24 09:55:16] extinction #3 | ticks: 3832 | max Gen: 1 | avg Ein: 432.0 | avg Eout: 10.4
[2026-07-24 09:55:17] extinction #4 | ticks: 4953 | max Gen: 0 | avg Ein: 437.2 | avg Eout: 11.4
[2026-07-24 09:55:19] extinction #5 | ticks: 3825 | max Gen: 4 | avg Ein: 209.0 | avg Eout: 20.1
[2026-07-24 10:20:41] extinction #1 | ticks: 8976 | max Gen: 1 | avg Ein: 146.1 | avg Eout: 5.8
[2026-07-24 10:20:43] extinction #2 | ticks: 2683 | max Gen: 6 | avg Ein: 591.1 | avg Eout: 28.3
[2026-07-24 10:20:44] extinction #3 | ticks: 4877 | max Gen: 1 | avg Ein: 291.6 | avg Eout: 5.0
[2026-07-24 10:20:46] extinction #4 | ticks: 8769 | max Gen: 4 | avg Ein: 768.9 | avg Eout: 15.3
[2026-07-24 10:20:47] extinction #5 | ticks: 8426 | max Gen: 1 | avg Ein: 306.4 | avg Eout: 16.6
[2026-07-24 10:23:12] extinction #1 | ticks: 4773 | max Gen: 3 | avg Ein: 775.8 | avg Eout: 13.4
[2026-07-24 10:23:15] extinction #2 | ticks: 2729 | max Gen: 0 | avg Ein: 496.0 | avg Eout: 14.1
[2026-07-24 10:23:17] extinction #3 | ticks: 11833 | max Gen: 1 | avg Ein: 109.8 | avg Eout: 4.0
[2026-07-24 10:23:18] extinction #4 | ticks: 3219 | max Gen: 0 | avg Ein: 510.2 | avg Eout: 9.7
[2026-07-24 10:23:19] extinction #5 | ticks: 3162 | max Gen: 1 | avg Ein: 613.0 | avg Eout: 9.7
[2026-07-24 10:23:19] extinction #6 | ticks: 2719 | max Gen: 0 | avg Ein: 6991.5 | avg Eout: 9.9
[2026-07-24 10:23:53] extinction #7 | ticks: 6703 | max Gen: 3 | avg Ein: 593.7 | avg Eout: 2.6
[2026-07-24 10:23:56] extinction #8 | ticks: 5315 | max Gen: 1 | avg Ein: 599.2 | avg Eout: 6.7
[2026-07-24 10:24:01] extinction #9 | ticks: 9038 | max Gen: 0 | avg Ein: 401.1 | avg Eout: 2.1
[2026-07-24 10:24:39] extinction #10 | ticks: 323 | max Gen: 0 | avg Ein: 254.4 | avg Eout: 269.9
[2026-07-24 10:24:40] extinction #11 | ticks: 1232 | max Gen: 0 | avg Ein: 234.1 | avg Eout: 233.3
[2026-07-24 10:24:41] extinction #12 | ticks: 187 | max Gen: 0 | avg Ein: 281.2 | avg Eout: 329.8
[2026-07-24 10:24:42] extinction #13 | ticks: 487 | max Gen: 0 | avg Ein: 247.0 | avg Eout: 249.3
[2026-07-24 10:24:42] extinction #14 | ticks: 179 | max Gen: 0 | avg Ein: 268.1 | avg Eout: 324.4
[2026-07-24 10:24:43] extinction #15 | ticks: 336 | max Gen: 0 | avg Ein: 261.0 | avg Eout: 266.5
[2026-07-24 10:24:44] extinction #16 | ticks: 181 | max Gen: 0 | avg Ein: 272.5 | avg Eout: 321.9
[2026-07-24 10:25:24] extinction #17 | ticks: 125 | max Gen: 1 | avg Ein: 3291.2 | avg Eout: 813.3
[2026-07-24 10:25:34] extinction #18 | ticks: 561 | max Gen: 1 | avg Ein: 7990.6 | avg Eout: 11378.1
[2026-07-24 10:25:47] extinction #19 | ticks: 3390 | max Gen: 1 | avg Ein: 7777.1 | avg Eout: 20096.8
[2026-07-24 10:26:22] extinction #20 | ticks: 659 | max Gen: 1 | avg Ein: 9267.2 | avg Eout: 18449.6
[2026-07-24 10:26:27] extinction #21 | ticks: 294 | max Gen: 1 | avg Ein: 14889.0 | avg Eout: 31715.5
[2026-07-24 10:26:29] extinction #22 | ticks: 449 | max Gen: 1 | avg Ein: 6305.5 | avg Eout: 17388.7
[2026-07-24 10:26:31] extinction #23 | ticks: 722 | max Gen: 1 | avg Ein: 4037.2 | avg Eout: 7820.3
[2026-07-24 10:26:34] extinction #24 | ticks: 3476 | max Gen: 7 | avg Ein: 252.1 | avg Eout: 125.7
[EXTINCT ][2026-07-26 00:28:30] extinction #1 | ticks: 29755 | max Gen: 26 | avg Ein: 1671.5 | avg Eout: 45.3
[EXTINCT ][2026-07-26 00:28:35] extinction #2 | ticks: 19796 | max Gen: 13 | avg Ein: 166.3 | avg Eout: 89.2
[EXTINCT ][2026-07-26 00:43:30] extinction #1 | ticks: 89 | max Gen: 1 | avg Ein: 765.9 | avg Eout: 975.5
